DATE,#GUESTS,DAILY SALES
"06-Jan, 2010",327,"$2,818.89"
"07-Jan, 2010",347,"$2,987.05"
"08-Jan, 2010",658,"$5,923.16"
"09-Jan, 2010",570,"$5,033.67"
"10-Jan, 2010",564,"$5,101.19"
"11-Jan, 2010",275,"$2,361.96"
"12-Jan, 2010",299,"$2,543.26"
"13-Jan, 2010",255,"$2,282.61"
"14-Jan, 2010",359,"$3,211.13"
"15-Jan, 2010",618,"$5,549.35"
"16-Jan, 2010",545,"$4,900.32"
"17-Jan, 2010",448,"$3,981.17"
"18-Jan, 2010",352,"$3,083.83"
"19-Jan, 2010",287,"$2,508.71"
"20-Jan, 2010",354,"$3,137.83"
"21-Jan, 2010",352,"$3,151.05"
"22-Jan, 2010",614,"$5,463.80"
"23-Jan, 2010",594,"$5,330.27"
"24-Jan, 2010",424,"$3,784.71"
"25-Jan, 2010",325,"$2,906.70"
"26-Jan, 2010",308,"$2,644.03"
"27-Jan, 2010",353,"$3,106.58"
"28-Jan, 2010",344,"$3,094.11"
"29-Jan, 2010",587,"$5,439.98"
"30-Jan, 2010",678,"$6,075.05"
"31-Jan, 2010",428,"$3,864.48"
"01-Feb, 2010",352,"$3,152.67"
"02-Feb, 2010",359,"$3,125.88"
"03-Feb, 2010",336,"$2,999.36"
"04-Feb, 2010",375,"$3,340.03"
"05-Feb, 2010",727,"$6,438.21"
"06-Feb, 2010",643,"$5,784.70"
"07-Feb, 2010",337,"$2,993.29"
"08-Feb, 2010",241,"$2,072.29"
"09-Feb, 2010",301,"$2,580.30"
"10-Feb, 2010",344,"$3,127.97"
"11-Feb, 2010",367,"$3,255.66"
"12-Feb, 2010",724,"$6,781.92"
"13-Feb, 2010",858,"$7,915.76"
"14-Feb, 2010",735,"$7,299.98"
"15-Feb, 2010",412,"$3,480.62"
"16-Feb, 2010",290,"$2,616.43"
"17-Feb, 2010",389,"$3,527.61"
"18-Feb, 2010",310,"$2,642.25"
"19-Feb, 2010",590,"$5,368.60"
"20-Feb, 2010",754,"$6,570.83"
"21-Feb, 2010",524,"$4,784.55"
"22-Feb, 2010",322,"$2,737.78"
"23-Feb, 2010",289,"$2,432.36"
"24-Feb, 2010",292,"$2,492.63"
"25-Feb, 2010",417,"$3,625.78"
"26-Feb, 2010",648,"$5,839.56"
"27-Feb, 2010",777,"$6,984.01"
"28-Feb, 2010",513,"$4,555.85"
"01-Mar, 2010",312,"$2,683.52"
"02-Mar, 2010",306,"$2,705.74"
"03-Mar, 2010",412,"$3,626.39"
"04-Mar, 2010",426,"$3,743.97"
"05-Mar, 2010",748,"$6,881.57"
"06-Mar, 2010",829,"$7,273.55"
"07-Mar, 2010",608,"$5,374.23"
"08-Mar, 2010",256,"$2,267.62"
"09-Mar, 2010",323,"$2,777.01"
"10-Mar, 2010",430,"$3,798.05"
"11-Mar, 2010",359,"$3,179.33"
"12-Mar, 2010",627,"$5,609.68"
"13-Mar, 2010",729,"$6,751.60"
"14-Mar, 2010",577,"$5,196.81"
"15-Mar, 2010",285,"$2,416.74"
"16-Mar, 2010",296,"$2,612.84"
"17-Mar, 2010",392,"$3,356.41"
"18-Mar, 2010",285,"$2,416.77"
"19-Mar, 2010",695,"$6,322.54"
"20-Mar, 2010",680,"$6,058.78"
"21-Mar, 2010",525,"$4,766.65"
"22-Mar, 2010",311,"$2,795.35"
"23-Mar, 2010",348,"$3,084.36"
"24-Mar, 2010",370,"$3,318.83"
"25-Mar, 2010",404,"$3,599.22"
"26-Mar, 2010",675,"$6,281.37"
"27-Mar, 2010",687,"$6,132.53"
"28-Mar, 2010",525,"$4,845.47"
"29-Mar, 2010",320,"$2,762.32"
"30-Mar, 2010",375,"$3,263.61"
"31-Mar, 2010",323,"$2,981.59"
"01-Apr, 2010",425,"$3,869.79"
"02-Apr, 2010",707,"$6,571.51"
"03-Apr, 2010",510,"$4,610.51"
"04-Apr, 2010",463,"$4,332.24"
"05-Apr, 2010",283,"$2,467.33"
"06-Apr, 2010",402,"$3,608.65"
"07-Apr, 2010",406,"$3,688.96"
"08-Apr, 2010",441,"$3,962.62"
"09-Apr, 2010",863,"$7,884.28"
"10-Apr, 2010",639,"$5,801.20"
"11-Apr, 2010",624,"$5,884.86"
"12-Apr, 2010",273,"$2,518.97"
"13-Apr, 2010",318,"$2,740.82"
"14-Apr, 2010",448,"$3,990.02"
"15-Apr, 2010",421,"$3,877.66"
"16-Apr, 2010",709,"$6,464.25"
"17-Apr, 2010",720,"$6,529.52"
"18-Apr, 2010",591,"$5,425.76"
"19-Apr, 2010",240,"$2,116.80"
"20-Apr, 2010",326,"$2,825.94"
"21-Apr, 2010",387,"$3,545.25"
"22-Apr, 2010",354,"$3,146.31"
"23-Apr, 2010",731,"$6,774.20"
"24-Apr, 2010",744,"$6,672.66"
"25-Apr, 2010",501,"$4,701.68"
"26-Apr, 2010",288,"$2,606.68"
"27-Apr, 2010",371,"$3,375.02"
"28-Apr, 2010",383,"$3,392.44"
"29-Apr, 2010",421,"$3,794.62"
"30-Apr, 2010",773,"$7,112.44"
"01-May, 2010",800,"$7,279.39"
"02-May, 2010",516,"$4,793.36"
"03-May, 2010",303,"$2,673.99"
"04-May, 2010",305,"$2,672.52"
"05-May, 2010",364,"$3,298.98"
"06-May, 2010",440,"$3,918.29"
"07-May, 2010",617,"$5,650.95"
"08-May, 2010",788,"$7,091.56"
"09-May, 2010",1000,"$9,559.73"
"10-May, 2010",295,"$2,672.77"
"11-May, 2010",307,"$2,580.74"
"12-May, 2010",365,"$3,266.67"
"13-May, 2010",360,"$3,149.90"
"14-May, 2010",637,"$5,960.44"
"15-May, 2010",533,"$4,737.95"
"16-May, 2010",370,"$3,448.11"
"17-May, 2010",292,"$2,557.03"
"18-May, 2010",299,"$2,596.77"
"19-May, 2010",345,"$3,070.92"
"20-May, 2010",361,"$3,253.97"
"21-May, 2010",631,"$5,737.32"
"22-May, 2010",625,"$5,556.09"
"23-May, 2010",537,"$4,950.27"
"24-May, 2010",264,"$2,328.08"
"25-May, 2010",328,"$2,879.71"
"26-May, 2010",369,"$3,321.71"
"27-May, 2010",423,"$3,721.18"
"28-May, 2010",772,"$7,044.15"
"29-May, 2010",631,"$5,719.58"
"30-May, 2010",475,"$4,266.01"
"31-May, 2010",418,"$3,630.75"
"01-Jun, 2010",352,"$3,152.48"
"02-Jun, 2010",384,"$3,460.71"
"03-Jun, 2010",436,"$3,945.40"
"04-Jun, 2010",633,"$5,896.49"
"05-Jun, 2010",602,"$5,422.41"
"06-Jun, 2010",552,"$5,062.85"
"07-Jun, 2010",365,"$3,315.76"
"08-Jun, 2010",428,"$3,771.15"
"09-Jun, 2010",283,"$2,492.71"
"10-Jun, 2010",471,"$4,261.03"
"11-Jun, 2010",581,"$5,327.69"
"12-Jun, 2010",534,"$4,849.23"
"13-Jun, 2010",539,"$4,850.06"
"14-Jun, 2010",285,"$2,463.96"
"15-Jun, 2010",332,"$2,908.69"
"16-Jun, 2010",365,"$3,154.39"
"17-Jun, 2010",378,"$3,338.24"
"18-Jun, 2010",605,"$5,481.38"
"19-Jun, 2010",565,"$5,114.93"
"20-Jun, 2010",803,"$7,625.57"
"21-Jun, 2010",305,"$2,589.73"
"22-Jun, 2010",353,"$3,093.55"
"23-Jun, 2010",378,"$3,319.11"
"24-Jun, 2010",362,"$3,168.04"
"25-Jun, 2010",560,"$4,960.59"
"26-Jun, 2010",508,"$4,516.12"
"27-Jun, 2010",505,"$4,514.74"
"28-Jun, 2010",356,"$3,091.40"
"29-Jun, 2010",413,"$3,545.05"
"30-Jun, 2010",430,"$3,735.80"
"01-Jul, 2010",433,"$3,944.12"
"02-Jul, 2010",606,"$5,475.24"
"03-Jul, 2010",433,"$3,751.12"
"04-Jul, 2010",340,"$3,140.75"
"05-Jul, 2010",394,"$3,363.68"
"06-Jul, 2010",344,"$2,980.81"
"07-Jul, 2010",413,"$3,691.77"
"08-Jul, 2010",463,"$3,976.89"
"09-Jul, 2010",697,"$6,286.15"
"10-Jul, 2010",653,"$5,652.05"
"11-Jul, 2010",479,"$4,382.52"
"12-Jul, 2010",351,"$2,982.49"
"13-Jul, 2010",341,"$2,988.91"
"14-Jul, 2010",453,"$3,949.21"
